route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,jp_trip_desc,jp_trip_desc_symbol,jp_office_id
107000,20180401_weekday,weekday_107000_1,,,1,,,0,0,,,
107010,20180401_weekday,weekday_107010_0,,,0,,,0,0,,,
107010,20180401_weekday,weekday_107010_1,,,0,,,0,0,,,
107100,20180401_weekday,weekday_107100_0,,,1,,,0,0,,,
107100,20180401_weekday,weekday_107100_1,,,1,,,0,0,,,
107100,20180401_weekday,weekday_107100_2,,,1,,,0,0,,,
107100,20180401_weekday,weekday_107100_3,,,1,,,0,0,,,
107100,20180401_weekday,weekday_107100_4,,,1,,,0,0,,,
107100,20180401_weekday,weekday_107100_5,,,1,,,0,0,,,
107100,20180401_weekday,weekday_107100_6,,,1,,,0,0,,,
107100,20180401_weekday,weekday_107100_7,,,1,,,0,0,,,
107100,20180401_weekday,weekday_107100_8,,,1,,,0,0,,,
107100,20180401_weekday,weekday_107100_9,,,1,,,0,0,,,
107110,20180401_weekday,weekday_107110_0,,,0,,,0,0,,,
107110,20180401_weekday,weekday_107110_1,,,0,,,0,0,,,
107110,20180401_weekday,weekday_107110_2,,,0,,,0,0,,,
107110,20180401_weekday,weekday_107110_3,,,0,,,0,0,,,
107110,20180401_weekday,weekday_107110_4,,,0,,,0,0,,,
107110,20180401_weekday,weekday_107110_5,,,0,,,0,0,,,
107110,20180401_weekday,weekday_107110_6,,,0,,,0,0,,,
107110,20180401_weekday,weekday_107110_7,,,0,,,0,0,,,
107200,20180401_weekday,weekday_107200_0,,,1,,,0,0,,,
107200,20180401_weekday,weekday_107200_1,,,1,,,0,0,,,
107210,20180401_weekday,weekday_107210_0,,,0,,,0,0,,,
107210,20180401_weekday,weekday_107210_1,,,0,,,0,0,,,
107600,20180401_weekday,weekday_107600_0,,,1,,,0,0,,,
107600,20180401_weekday,weekday_107600_1,,,1,,,0,0,,,
107600,20180401_weekday,weekday_107600_2,,,1,,,0,0,,,
107600,20180401_weekday,weekday_107600_3,,,1,,,0,0,,,
107600,20180401_weekday,weekday_107600_4,,,1,,,0,0,,,
107600,20180401_weekday,weekday_107600_5,,,1,,,0,0,,,
107610,20180401_weekday,weekday_107610_0,,,0,,,0,0,,,
107610,20180401_weekday,weekday_107610_1,,,0,,,0,0,,,
107610,20180401_weekday,weekday_107610_2,,,0,,,0,0,,,
107610,20180401_weekday,weekday_107610_3,,,0,,,0,0,,,
107610,20180401_weekday,weekday_107610_4,,,0,,,0,0,,,
107700,20180401_weekday,weekday_107700_0,,,1,,,0,0,,,
107700,20180401_weekday,weekday_107700_1,,,1,,,0,0,,,
107700,20180401_weekday,weekday_107700_2,,,1,,,0,0,,,
107710,20180401_weekday,weekday_107710_0,,,0,,,0,0,,,
107710,20180401_weekday,weekday_107710_1,,,0,,,0,0,,,
107810,20180401_weekday,weekday_107810_0,,,0,,,0,0,,,
108500,20180401_weekday,weekday_108500_0,,,1,,,0,0,,,
108500,20180401_weekday,weekday_108500_1,,,1,,,0,0,,,
108510,20180401_weekday,weekday_108510_0,,,0,,,0,0,,,
108700,20180401_weekday,weekday_108700_0,,,1,,,0,0,,,
108700,20180401_weekday,weekday_108700_1,,,1,,,0,0,,,
108700,20180401_weekday,weekday_108700_2,,,1,,,0,0,,,
108700,20180401_weekday,weekday_108700_3,,,1,,,0,0,,,
108700,20180401_weekday,weekday_108700_4,,,1,,,0,0,,,
108700,20180401_weekday,weekday_108700_5,,,1,,,0,0,,,
108700,20180401_weekday,weekday_108700_6,,,1,,,0,0,,,
108700,20180401_weekday,weekday_108700_7,,,1,,,0,0,,,
108700,20180401_weekday,weekday_108700_8,,,1,,,0,0,,,
108700,20180401_weekday,weekday_108700_school_0,,,1,,,0,0,,,
108710,20180401_weekday,weekday_108710_0,,,0,,,0,0,,,
108710,20180401_weekday,weekday_108710_1,,,0,,,0,0,,,
108710,20180401_weekday,weekday_108710_2,,,0,,,0,0,,,
108710,20180401_weekday,weekday_108710_3,,,0,,,0,0,,,
108710,20180401_weekday,weekday_108710_4,,,0,,,0,0,,,
108710,20180401_weekday,weekday_108710_5,,,0,,,0,0,,,
108710,20180401_weekday,weekday_108710_6,,,0,,,0,0,,,
108710,20180401_weekday,weekday_108710_7,,,0,,,0,0,,,
108710,20180401_weekday,weekday_108710_8,,,0,,,0,0,,,
108710,20180401_weekday,weekday_108710_9,,,0,,,0,0,,,
108800,20180401_weekday,weekday_108800_0,,,1,,,0,0,,,
108800,20180401_weekday,weekday_108800_1,,,1,,,0,0,,,
108800,20180401_weekday,weekday_108800_2,,,1,,,0,0,,,
108800,20180401_weekday,weekday_108800_3,,,1,,,0,0,,,
108810,20180401_weekday,weekday_108810_0,,,0,,,0,0,,,
108810,20180401_weekday,weekday_108810_1,,,0,,,0,0,,,
108810,20180401_weekday,weekday_108810_2,,,0,,,0,0,,,
108810,20180401_weekday,weekday_108810_3,,,0,,,0,0,,,
108810,20180401_weekday,weekday_108810_4,,,0,,,0,0,,,
109000,20180401_weekday,weekday_109000_0,,,1,,,0,0,,,
109000,20180401_weekday,weekday_109000_1,,,1,,,0,0,,,
109000,20180401_weekday,weekday_109000_2,,,1,,,0,0,,,
109000,20180401_weekday,weekday_109000_3,,,1,,,0,0,,,
109010,20180401_weekday,weekday_109010_0,,,0,,,0,0,,,
109010,20180401_weekday,weekday_109010_1,,,0,,,0,0,,,
109010,20180401_weekday,weekday_109010_2,,,0,,,0,0,,,
109100,20180401_weekday,weekday_109100_0,,,1,,,0,0,,,
109100,20180401_weekday,weekday_109100_1,,,1,,,0,0,,,
109100,20180401_weekday,weekday_109100_2,,,1,,,0,0,,,
109100,20180401_weekday,weekday_109100_3,,,1,,,0,0,,,
109100,20180401_weekday,weekday_109100_4,,,1,,,0,0,,,
109110,20180401_weekday,weekday_109110_0,,,0,,,0,0,,,
109110,20180401_weekday,weekday_109110_1,,,0,,,0,0,,,
109110,20180401_weekday,weekday_109110_2,,,0,,,0,0,,,
